Date,Price,Open,High,Low,Vol.,Change %
3-May-16,851.00,863.95,869.00,848.00,1.31M,-1.50%
4-May-16,853.40,850.00,855.90,844.00,568.46K,0.28%
5-May-16,850.15,859.00,861.90,846.80,760.87K,-0.38%
6-May-16,853.40,848.00,856.50,846.75,411.25K,0.38%
9-May-16,845.50,851.00,869.70,839.20,3.22M,-0.93%
10-May-16,862.45,848.80,867.90,845.60,1.52M,2.00%
11-May-16,862.55,855.00,866.80,851.10,697.30K,0.01%
12-May-16,853.00,858.40,862.00,849.35,730.64K,-1.11%
13-May-16,831.80,852.95,852.95,821.95,2.37M,-2.49%
16-May-16,846.25,833.00,848.50,817.00,1.94M,1.74%
17-May-16,834.05,850.00,850.35,831.00,1.43M,-1.44%
18-May-16,825.50,833.70,834.55,823.00,1.43M,-1.03%
19-May-16,815.10,826.10,829.85,810.35,1.87M,-1.26%
20-May-16,812.40,820.00,821.00,806.15,1.62M,-0.33%
23-May-16,819.60,817.00,825.75,813.05,1.12M,0.89%
24-May-16,823.10,819.00,824.45,815.45,946.78K,0.43%
25-May-16,840.10,828.00,841.45,827.05,1.13M,2.07%
26-May-16,850.35,840.20,854.00,832.00,2.48M,1.22%
27-May-16,861.20,851.35,865.95,850.50,1.53M,1.28%
30-May-16,854.35,864.00,867.20,849.75,776.27K,-0.80%
31-May-16,848.20,857.80,859.90,845.00,12.13M,-0.72%
1-Jun-16,855.15,852.15,863.40,846.05,1.22M,0.82%
2-Jun-16,868.20,855.00,873.95,835.00,3.41M,1.53%
3-Jun-16,884.85,872.00,888.00,869.40,1.75M,1.92%
6-Jun-16,879.35,887.60,892.00,875.05,1.94M,-0.62%
7-Jun-16,897.05,884.00,898.80,880.40,2.19M,2.01%
8-Jun-16,897.20,895.00,908.00,891.60,1.47M,0.02%
9-Jun-16,876.45,899.00,899.00,874.45,1.38M,-2.31%
10-Jun-16,874.65,876.00,884.80,871.15,793.11K,-0.21%
13-Jun-16,874.20,867.35,880.95,867.35,1.07M,-0.05%
14-Jun-16,865.70,872.10,875.20,860.30,826.23K,-0.97%
15-Jun-16,874.65,868.00,876.60,863.00,863.26K,1.03%
16-Jun-16,879.45,871.85,880.85,859.15,803.72K,0.55%
17-Jun-16,881.35,883.95,884.70,872.50,849.72K,0.22%
20-Jun-16,879.40,875.00,882.35,870.55,526.39K,-0.22%
21-Jun-16,870.25,876.50,879.00,866.15,1.21M,-1.04%
22-Jun-16,859.25,862.95,867.75,857.00,723.16K,-1.26%
23-Jun-16,869.35,860.00,873.00,854.30,574.73K,1.18%
24-Jun-16,859.10,858.55,862.20,847.10,1.16M,-1.18%
27-Jun-16,858.85,858.00,873.85,855.25,815.77K,-0.03%
28-Jun-16,887.75,861.00,889.95,859.00,1.61M,3.36%
29-Jun-16,883.80,889.90,894.15,877.00,857.95K,-0.44%
30-Jun-16,898.55,891.00,902.90,890.55,2.03M,1.67%
1-Jul-16,897.60,898.60,904.55,886.10,1.10M,-0.11%
4-Jul-16,893.05,900.00,902.75,888.00,674.94K,-0.51%
5-Jul-16,890.20,895.20,896.20,886.85,631.45K,-0.32%
7-Jul-16,918.30,890.00,920.00,888.60,1.69M,3.16%
8-Jul-16,920.70,919.00,926.30,913.45,1.58M,0.26%
11-Jul-16,929.40,927.00,934.90,921.35,746.03K,0.94%
12-Jul-16,925.30,933.90,933.90,913.65,813.35K,-0.44%
13-Jul-16,927.45,923.10,929.75,917.45,598.07K,0.23%
14-Jul-16,932.95,927.00,935.00,922.05,757.07K,0.59%
15-Jul-16,941.50,935.00,951.45,932.05,1.28M,0.92%
18-Jul-16,921.95,944.00,946.60,910.00,3.01M,-2.08%
19-Jul-16,895.15,904.10,906.90,888.00,2.60M,-2.91%
20-Jul-16,906.90,899.45,910.30,897.20,897.89K,1.31%
21-Jul-16,910.05,907.00,913.65,900.50,876.19K,0.35%
22-Jul-16,903.20,911.20,915.00,897.00,967.99K,-0.75%
25-Jul-16,906.95,900.50,909.30,895.70,1.30M,0.42%
26-Jul-16,902.70,911.90,911.90,899.00,1.09M,-0.47%
27-Jul-16,903.85,900.00,909.45,898.25,1.17M,0.13%
28-Jul-16,909.40,904.90,913.00,895.10,1.76M,0.61%
29-Jul-16,922.55,905.40,925.00,902.55,1.28M,1.45%
1-Aug-16,925.00,930.00,930.05,916.15,1.27M,0.27%
2-Aug-16,927.40,928.90,940.85,924.20,1.44M,0.26%
3-Aug-16,913.80,926.80,926.80,909.55,1.07M,-1.47%
4-Aug-16,918.05,922.00,922.25,908.85,685.52K,0.47%
5-Aug-16,925.50,921.15,928.65,916.40,936.29K,0.81%
8-Aug-16,929.50,926.55,934.35,922.40,640.02K,0.43%
9-Aug-16,934.25,929.50,935.90,924.15,912.24K,0.51%
10-Aug-16,924.95,935.00,935.35,922.80,675.29K,-1.00%
11-Aug-16,935.65,924.90,938.10,922.55,859.80K,1.16%
12-Aug-16,935.00,934.80,947.00,926.00,664.20K,-0.07%
16-Aug-16,926.20,931.25,943.90,921.35,847.40K,-0.94%
17-Aug-16,913.20,924.90,925.70,910.30,685.24K,-1.40%
18-Aug-16,906.90,913.00,916.70,905.25,1.05M,-0.69%
19-Aug-16,910.65,909.00,915.70,901.25,1.23M,0.41%
22-Aug-16,930.05,911.90,933.90,911.90,1.41M,2.13%
23-Aug-16,921.70,931.00,931.65,919.05,923.11K,-0.90%
24-Aug-16,919.40,921.00,924.95,908.25,929.75K,-0.25%
25-Aug-16,910.80,921.00,922.00,907.20,1.76M,-0.94%
26-Aug-16,904.50,914.80,914.80,900.00,753.28K,-0.69%
29-Aug-16,905.20,906.00,908.00,901.00,488.02K,0.08%
30-Aug-16,924.80,908.00,926.30,907.60,921.47K,2.17%
31-Aug-16,917.05,925.00,926.50,911.85,2.19M,-0.84%
1-Sep-16,925.80,917.10,929.50,913.35,654.59K,0.95%
2-Sep-16,920.75,923.50,926.55,917.55,968.87K,-0.55%
6-Sep-16,937.85,924.25,939.75,922.30,811.24K,1.86%
7-Sep-16,933.00,937.00,938.90,927.40,728.87K,-0.52%
8-Sep-16,951.55,933.00,953.60,931.50,1.53M,1.99%
9-Sep-16,929.95,950.00,954.00,927.40,888.95K,-2.27%
12-Sep-16,918.45,924.85,924.85,912.45,677.58K,-1.24%
14-Sep-16,908.45,917.00,924.50,905.00,1.35M,-1.09%
15-Sep-16,914.00,910.20,920.85,906.00,964.71K,0.61%
16-Sep-16,911.70,916.25,928.60,909.40,1.54M,-0.25%
19-Sep-16,911.95,915.45,922.50,909.10,793.04K,0.03%
20-Sep-16,902.90,912.15,916.80,900.90,1.13M,-0.99%
21-Sep-16,913.05,902.00,914.55,900.55,1.10M,1.12%
22-Sep-16,910.15,913.00,917.95,903.25,1.25M,-0.32%
23-Sep-16,910.55,911.00,912.50,901.00,1.50M,0.04%
26-Sep-16,892.60,909.00,913.90,886.50,1.15M,-1.97%
27-Sep-16,897.30,895.00,900.95,889.40,849.72K,0.53%
28-Sep-16,887.15,900.00,900.85,881.25,1.88M,-1.13%
29-Sep-16,878.30,891.00,892.80,873.50,3.31M,-1.00%
30-Sep-16,867.85,877.10,879.85,865.00,3.10M,-1.19%
3-Oct-16,868.75,878.00,878.00,860.20,2.07M,0.10%
4-Oct-16,860.40,872.00,872.00,858.80,1.47M,-0.96%
5-Oct-16,870.95,865.00,873.70,862.40,1.78M,1.23%
