Date,Price,Open,High,Low,Vol.,Change %
30-Mar-15,405.38,408.30,408.85,398.23,7.92M,0.00
31-Mar-15,413.00,409.00,416.45,409.00,9.25M,0.02
01-Apr-15,418.02,412.45,419.50,406.55,6.67M,0.01
06-Apr-15,412.32,418.00,419.00,410.70,5.64M,0.01
07-Apr-15,416.43,413.02,418.05,413.02,9.73M,0.01
08-Apr-15,432.95,416.75,434.75,416.45,11.35M,0.04
09-Apr-15,447.55,432.75,449.50,429.40,12.47M,0.03
10-Apr-15,452.18,447.48,454.40,444.55,11.58M,0.01
13-Apr-15,461.25,453.40,462.38,449.38,9.22M,0.02
15-Apr-15,461.82,460.50,469.80,453.60,10.16M,0.00
16-Apr-15,464.18,462.25,469.00,459.50,9.22M,0.01
17-Apr-15,463.43,467.52,472.15,461.30,10.95M,0.00
20-Apr-15,442.82,468.65,468.73,439.25,17.20M,0.04
21-Apr-15,438.23,445.07,447.75,436.23,8.10M,0.01
22-Apr-15,439.88,440.95,443.38,433.50,6.75M,0.00
23-Apr-15,438.52,441.93,444.70,434.52,6.10M,0.00
24-Apr-15,439.45,438.50,442.23,434.32,5.81M,0.00
27-Apr-15,437.65,440.02,443.75,435.73,5.05M,0.00
28-Apr-15,432.60,437.35,441.00,429.27,6.71M,0.01
29-Apr-15,425.00,431.00,435.27,423.70,7.49M,0.02
30-Apr-15,431.18,425.00,432.95,423.98,15.91M,0.01
04-May-15,445.48,433.10,446.95,430.25,6.89M,0.03
05-May-15,446.07,446.85,450.90,442.55,8.16M,0.00
06-May-15,440.12,445.00,448.38,436.00,10.26M,0.01
07-May-15,435.38,437.50,439.23,430.00,7.65M,0.01
08-May-15,444.85,435.50,446.88,430.55,7.82M,0.02
11-May-15,447.98,446.43,449.73,441.70,6.50M,0.01
12-May-15,434.35,447.45,447.45,432.57,7.61M,0.03
13-May-15,442.55,436.68,444.32,428.60,7.64M,0.02
14-May-15,439.10,443.00,443.10,435.15,5.64M,0.01
15-May-15,436.98,440.95,443.48,435.05,3.81M,0.00
18-May-15,445.77,437.45,447.00,436.10,4.50M,0.02
19-May-15,447.77,445.62,452.38,443.30,6.63M,0.00
20-May-15,454.43,450.20,455.50,448.85,3.98M,0.01
21-May-15,448.38,455.62,457.70,447.05,4.92M,0.01
22-May-15,451.93,448.50,452.80,448.50,3.82M,0.01
25-May-15,447.25,450.00,454.00,446.18,3.03M,0.01
26-May-15,442.30,447.50,448.00,441.35,4.35M,0.01
27-May-15,442.65,443.00,445.45,440.10,3.69M,0.00
28-May-15,437.90,442.93,447.12,436.00,12.13M,0.01
29-May-15,438.50,439.95,443.23,436.55,13.38M,0.00
01-Jun-15,451.12,440.00,452.45,439.00,8.96M,0.03
02-Jun-15,449.32,452.88,459.40,445.73,9.23M,0.00
03-Jun-15,448.18,449.50,455.23,444.25,7.11M,0.00
04-Jun-15,456.35,452.10,458.10,446.27,7.28M,0.02
05-Jun-15,453.88,454.95,458.48,452.23,5.97M,0.01
08-Jun-15,442.73,453.40,455.00,441.55,4.96M,0.02
09-Jun-15,441.85,441.77,445.32,438.68,4.18M,0.00
10-Jun-15,452.90,443.00,454.95,442.50,6.18M,0.03
11-Jun-15,438.57,453.00,454.75,436.82,6.71M,0.03
12-Jun-15,444.93,439.50,446.35,439.12,9.85M,0.01
15-Jun-15,450.88,447.45,452.50,445.00,5.88M,0.01
16-Jun-15,451.98,449.50,452.50,446.60,6.37M,0.00
17-Jun-15,465.60,452.52,471.18,447.00,11.99M,0.03
18-Jun-15,489.48,466.27,491.00,466.25,22.57M,0.05
19-Jun-15,498.32,491.25,503.20,491.25,20.90M,0.02
22-Jun-15,495.85,498.48,504.35,493.25,8.87M,0.01
23-Jun-15,497.50,496.32,501.35,495.50,7.32M,0.00
24-Jun-15,495.45,497.50,503.23,493.32,8.50M,0.00
25-Jun-15,502.27,493.50,504.50,492.50,12.42M,0.01
26-Jun-15,500.35,499.95,507.05,497.70,9.59M,0.00
29-Jun-15,495.43,493.95,496.93,486.00,9.22M,0.01
30-Jun-15,500.05,494.95,501.43,494.00,10.60M,0.01
01-Jul-15,502.82,500.50,505.23,500.50,6.78M,0.01
02-Jul-15,505.43,504.50,509.88,503.55,7.28M,0.01
03-Jul-15,503.60,504.88,506.90,501.52,6.32M,0.00
06-Jul-15,507.77,498.05,509.45,497.60,5.59M,0.01
07-Jul-15,501.62,505.50,508.30,500.00,5.16M,0.01
08-Jul-15,498.30,497.93,504.35,495.82,6.94M,0.01
09-Jul-15,493.70,498.00,500.50,491.57,7.43M,0.01
10-Jul-15,500.90,495.55,502.00,495.12,7.37M,0.01
